fault_text,label_name,split
CE: 3550 A11 saloon light not working,Saloon Light,train
Reported by TC car 1507 having APS fault,TRC4 TIMS Card,train
1669 Brake fault.Check and rectify,ACU,train
"PM,#2567 B side",Exterior Door Light,train
3604 PM CHECK FOUND B4 DOOR WOBBLING DUR,Door Roller,train
#3555 TC Reported DIR fault @Tk26 BSD ML,Adjust Cab Door Plunger,train
Train encountered power fault at car 1509 while arriving station. Reset-ok.red while arriving BGS EB. Unable to reset. TC feedback trai n performance-ok,Traction Motor,train
2565 - FOUND BOGIE 2 STUCK BRAKE. TO REC,Pressure Transducer,train
TIMS showed Smoke External at car 3554.Staff(AMK) checked and confirmed no signs of smoke / fire / burning smell on exterior or interior of train. Rear Train 2 21 feedback no signs of smoke on track. TIMS showed Smoke Ex,External Smoke Detector,train
"TIMS showed Front DT A1 door was not proven closed. TC recycled train doors once to clear fault. Sta ff (PNR) check and confirmed no obstaclesnor obstruction, however Front DT A1 door was slow in closing. Staff (CNG) su",Door Roller,train
Passenger feedback to staff (BDL) - train was warm. Staff (NEW) checked the whole train and unable t o locate any air-con fault. All cars were cooling.,Recharge Freon,train
1560-Line breaker resistor found burn ma,Charging Resistor,train
1540 - A1 DOOR ROLLER PITTED AT BOTH RHS,Door Roller,train
Train doors at rear M1 car were not proven closed. TC recycled train doors once - ok. Fault did not recur at subsequent stations. Train doors at rear M1 car wer e not proven closed. TC recycled train doors once - ok. Faul,Door Roller,train
3552 Battery 1 & 2 / 2552 Battery 1 havi,Battery,train
1568 TIMS showed Smoke External Alarm.,External Smoke Detector,train
CE: 2558 PM check found A3 saloon light,Saloon Light,train
3643 A/C lourve found missing.,Cab Louvre,train
Snap: 1550 Saloon light faulty,Saloon Light,train
"Train doors were not proven closed. TC reported the 'A' side cab door open automatically. TC closed the cab door, fault cleared. Fault did not recur at subseque nt stations. Train doors were not proven closed. TC reported",Adjusted Cab Door Latch,train
2690 MPV Found Leaking Air - To replace,MPV,train
#1658 no-2 end WATER DRIPPING,Saloon Evaporator Rubber,train
CE checked 3559 A/S cab door stiffed to,Cab Door Latch Loose,train
"539/540 - DURING TRAIN PREP, TIMS DISPLA",ACU,train
511/512 both EMU MR drop rapidly when sa,Door Manifold,train
Snaprep: 2520 Pax reported unusual noise,Wheel Profiling,train
TIMS showed 'Fire Extinguisher Removed'at Rear DT car.Staff (YWT) chcked and confirmed that the F ire Extinguisher at RDT car was intact.,Adjust Fire Extinguisher Position,train
1527 - A3 DOOR NOT FULLY OPENED,Door Roller,train
TC reported saloon lights faulty in car2507. Staff(CTH) checked and confirmed that one saloon car l ighting not working near B4 doors. The car is not dark and d oes not impact pax safety.,Saloon Light,train
Ce reported car 1516 B4 saloon light not,Saloon Light,train
"TC reported car 1622 propulsion fault arriving station. TC did power fault reset at ADM, WDL and MSLNB to no avail. Train performance ok. TC reported car 1622 propulsion fault arriving station. TC did power fault reset",Traction Motor,train
TC reported constant air discharge noisefrom leading DT car. MR pressure maintained at 9 bar.,Tighten Micromesh Oil Filter Valve,train
TC reported cab air con venting was dislodged.,Cab Louvre,train
DT check found 3710 BCU unit unhealthy.T,Speed Sensor,train
555/556 Air leak test fail during DT 1.0,Micromesh Oil Filter O Ring,train
3539 B2 PM found CCD Main fuse blown,CCD Fuse,train
711/712 Door matting check/Adjustment,Adjust Door Mating Strip,train
EMU627/628 both LMRG and WSP Reading Not,WSP,train
Train Prep report 667/668 multiple AC fa,Saloon CCU,train
TC feedback after changing end that oneof the saloon lights in car 3526 and car 3525 were not worki ng. Staff(MRB) checked and confirmed one of the saloon light s in both cars were not working. TC feedback after changing,Saloon Light Ballast,train
3542 Air Leak from undercarriage.(DT Che,WFL Elbow,train
EB applied due to obstructed motion at JKN1 when train was about to depart. TC reset EB - ok. Procee ded in ATPM to PNR1. Fault recurred after switching back to AM at PNR1. TC reset EB and proceeded in ATPM to BNL1. There,Aircon Insulation,train
1671-REPORTED BRAKE FAULT.TO RECTIFY,ACU,train
TC reported part of his train wiper fellonto the tracks around +9 TDM. Visibility was not affected. Rear T246(3116) line clear but couldn't find any wiper arou nd the location. Train was reformed with T433 and withdrawn,Resecure Wiper,train
Snap : Cabin 1517 - Faulty Light @ 3rd d,Saloon Light,train
TC feedback 'A' side cab door can open 5cm but cannot open fully.,Adjust Cab Door Magnet Switch,train
"APS indicator at front M1 car was flickering, fault self cleared , intermittent. Staff (LVR( checkedand confirmed no fault in all the cars",Saloon CCU,train
"565/566 air leak test failed, 1.2bars/5",Test Point,train
1502 wheel reprofiling,Wheel Profiling,train
3536 mode selector stiff (Train Prep),FOD,train
Front DT car A1 door was not proven closed. Opened and closed once to clear fault.,Clean J Rail,train
#565/566 Air leak test fail Found during,Horn Pipeline Filter,train
"TIMS showed BCU fault at RM2 car. Thereafter train came to gradual stop in between station.TC oper ated STBS for train to depart.Pax were detrained at WDL1, thereafter, train was routed to WDL siding.",ACU,train
Snaprep: 2509 B4 light down,Saloon Light,train
TIMS showed BCU fault at car 2669. Fault self cleared.Fault Occur again at SOM SB,ACU,train
"Snap: 2521 B1 door, loud noise heard fro",Semi Permanent Coupler,train
Snap reported 1546 squeaky noise on the,Weather Strip,train
SNAP:1724 Saloon warm:,Recharge Freon,train
Snap: 2686 A/C condensation,Change Thermostat Setting,train
Train doors at car Front M1 'A2' door were not proven closed. TC recycled train doors a few times tono avail. Staff(SBW) assisted to push close Front M1 'A2' d oor for train to depart. Staff(SBW) feedback Front M1 'A2' d,Door Manifold,train
TC reported External Smoke Alarm at car1504. Staff(JUR) checked and feedback no sign of smoke or he at.Rear T415 did line clear confirmed no abnormality.,External Smoke Detector,train
509/510 Fleetwide MPV C/O,MPV,train
"During DT found #2535- BCU fault, To rectify.",BCU,train
T412 3560 TAP2-Train doors at Rear M1(15,Adjust Door Sensing Switch,train
"3613 A2, B1 bump stop clearance fail.",Adjust Bump Stop Gap,train
CE reported 1502 B5 Saloon light not working.,Saloon Light,train
TC reported air- con fault at Rear M1 car.Staff (YIS) checked and informed #2 set air- con was fau lty.Reset - ok.Car was cooling.,Recharge Freon,train
TC reported intermittent brake fault atrear DT car. TC feedback train performance - ok.,BCU,train
CE: 3515 B4 Saloon light faulty,Saloon Light,train
DT562: UNDERSHOOTUndershoot and Plate Not Detected 1511 YIS2 2000 1738 TAP2 2480 1954 TAP2 1050,Tacho,train
Train jerked each time speed reaches 50kph to 60kph. No fault indication.,Pressure Transducer,train
"TC reported TIMS displayed ""BCU WSP Timer 1 Activated Time-out"" at RM2 car. (Fault code 322)fter, TC feedback fault clear.",BCU,train
TC reported power fault at front M2 carwhile arriving station. Reset - ok.,Charging Resistor,train
537/538 Air leak failed when door open.1,Door Manifold,train
"DT545: UNDERSHOOT S LOGS SHOWED TRAIN OVERSHOOT MULTIPLE TIMES C LOGS OBTAINED AND OBSERVED RESIDUAL BRAKE PRESSURE IS OUT OF SYNC. FER TO RS TO CHECK ON BCP. ME OF FAULT: 2157hrs, 2226hrs, 2245hrs, 2301hrs, 2306hrs",ACU,train
1638 A/C 2-1 found coolant fault during,Recharge Freon,train
Found 3551 #6 LFF noisy during 3mcc01 in,LFF,train
CE:Feedback saloon light not working as,Saloon Light,train
"TC reported TIMS showed APS comms fault& no line voltage at car 1569. TC tried to aux on- unable toclear fault. SM(KRJ) checked & confirmed no converter fault & line voltage- ok at car 1569. Subsequently, TC reported T",TRC4 TIMS Card,train
T422 TIMS showed cab 3569 fire extinguis,Adjust Fire Extinguisher Position,train
TC reported TIMS showed obstacle detected at front M1 car 'B1' door. Fault self-cleared and did not recur at subsequent stations. Staff(CTH) checked and confirm ed front M1 car 'B1' door opened and closed normally.,Door Roller,train
3620 TRAIN DOOR STATUS LOST 20 TRAIN DOOR STATUS LOST WHILE TRAIN IS DEPARTING FROM STN IN AM DE. ME OF FAULT : 13:35:38HRS CATION : YCK STN ME OF FAULT : 12:54:10HRS CATION : JUR STN,Adjust Cab Door Sensing Switch Guide Rod,train
"3645,2646 and 1646 Reported BCP pressure",ACU,train
TC reported obstacle detected at FM1 carA1 door. Staff (YWT) check and confirmed both side of A1 do ors unable to open fully by around 10 cm.,Door Leaf,train
2539/3540-centre pivot vertical stop  ou,Adjust Centre Pivot Vertical Stop Bolt Gap,train
CE reported 3563 having wrong ic card in,Reset TIMS,train
1682-BRAKE FAULT DURING DT CHECK,BCU,train
1672 reprted having stuck brake during s,ACU,train
DT check found 3631 water flooded. To re,Repatch Detrainment Door Rubber,train
"3717-A1(x3),B1(x3),B2(x1)
1717-B1(x2),B2(x1)
2717-A2(x1),B1(x1)
2718-A1(x1),A2(x1),B1(x1),B2(x2)
1718-A1(x1),A2(x2),B1(x2),B2(x1)
3718-A1(x2),A2(x2),B1(x1),B2(x1)
Above location CCD assembly mounting washer crack during PM check.
Please check and rectify.",CCD Washer,train
Train reported 1622 a/con fault and 2621,Pressure Transducer,train
CE:2533 b10 saloon light not working,Saloon Light,train
3681 AND 1681 BCP LOW at B1 to B3,Pressure Transducer,train
2551 - CR TESTPOINT LEAK,Test Point,train
TC reported smoke internal at Front M1.Staff (KAL) checked and confirmed no abnormalities found.,Clean Internal Smoke Detector,train
1716 - NO.6 LFF FOUND NOISY. TO REPLACE.,LFF,train
"Train doors at car 1507 were not provenclosed. Staff(WDL) checked and confirmed that car 1507 'B4' door was fully opened, unable to close. Staff(WDL) assistedto isolate the defective pair of train doors in closed posit",Door Manifold,train
snaprep: 3628 saloon warm,Recharge Freon,train
TC reported intermittent BCU fault at car rear DT.,Tacho,train
1540 reported MPV LEAK.,MPV,train
2513-A/C #1-2 CMOCR FAULT.,Saloon CCU,train
CE: 3518 A-11 saloon light not working,Saloon Light,train
EMU 541/542 #3542 A/C compressor 1-1 and,Saloon CCU,train
3522 SBIPB not illuminated during lamp t,SBIPB Light,train
TC reported DIR failed to extinguish after all train doors proven closed. TC opened and closed traindoors a few times but to no avail. TC opened and closed Cab door 'A' side once - ok.,Cab Door Latch Loose,train
3535 During DT found A/C 1-2 Compressor,Saloon CCU,train
511/512 both EMU MR drop rapidly when sa,Door Manifold,train
505/506 Air leak test fail 1bar/5min (DT,Test Point,train
"3521 underframe air leak, leak rate 0.8b",WFL Elbow,train
Snap: 2537 door 9 light blown,Saloon Light,train
DURING TRAIN PREP #3532 B/S CAB DOOR UNA,Cab Door Cable,train
Snap: 1559 A/C warm,Recharge Freon,train
snaprep: Front DT A2 Door 3609 abnormal,Door Roller,train
EMU 567/568 #3568 A/C 2-1 Coolant pressu,Saloon Evaporator,train
TC reported smoke internal at Front DT.Staff(RFP) checked and feedback no sign of smoke or heat.,Clean Internal Smoke Detector,train
Train encountered power fault at car 1719 while arriving station.1,Charging Resistor,train
"Counter bound TC T413 reported T410 oneheadlight not working. T410 TC stepped out to check ""a"" sideheadlight not working. Tripped MLCB to no avail",Headlight,train
TC reported battery charge loss fault indication lighted up. TC feedback train performance - OK.,Stray Voltage From Cannon Plug,train
3608 PM check found uncouple rope frayin,Coupler Rope,train
"During train prep, found #3545 cab horn",Horn Solenoid Valve,train
TC reported air-con fault at rear M1 car. Staff(NOV) checked and confirmed #2 set faulty. Reset - ok . Car was cooling.,Recharge Freon,train
"TC reported fire external at car 2570. Rear T254 line clear, no sign of smoke or fire. Staff(AMK) ch ecked, no sign of smoke or fire. No abnormalities. TC reported fire external at car 2570. Rear T254 line clear, no sign",External Smoke Detector,train
675/676 Few location bump stop fail,Adjust Bump Stop Gap,train
2508 B2 Saloon light not working. To rec,Saloon Light,train
EMU 521/522 Air leak test failed 1.0 Bar,Test Point,train
'A' side wiper damaged.,Wiper,train
Staff(KRJ) at platform feedback at frontM1 car loud air discharge sound heard undercarriage near do or #7-8. TC checked MR pressure around 9-10 bar. Staff(CCK) checked and confirmed continuous loud air discharge sound he,CBTC Jumper Cable Touch Ball Valve,train
TC feedback intermittent stuck brake onfront DT car.,Tacho,train
"PM<#3722 WATER TANK SIGHT GLASS CRACKED,",Water Tank Sight Glass,train
"TIMS showed""Door Close Operation TimeOut, Front DT Car A1 Door""after train departed NOV2. Staff(SOM) checked and confirmedno abnormalities.",Clean J Rail,train
"#613/614,#1614(2 resister)#2614(1 resister)#1613(1 resister)found burn
mark during PM.To rectify",Charging Resistor,train
2518 - BCU Fault. (Train Prep),ACU,train
Snap: #2522 Saloon Light faulty,Saloon Light,train
TC reported 'A' side cab door unable toopen due to door handle loosen.,Cab Door Cable,train
TC reported air dryer fault.,Micromesh Oil Filter,train
1652 #2 end CCD HV cable too near to car,CCD HV Cable,train
"DT check found 3527 wiper valve leaking,",Test Point,train
TIMS showed obstacle detected at FDT car'A1' doors. TC opened and closed train doors to clear fault . Staff (BBT) checked and confirmed no abnormalities.,Clean J Rail,train
Snap:1554 Gangway noisy.,Gangway Footplate,train
2537 A/C 1-1 having coolant fault,Saloon CCU,train
#2644 MPV air leak found during CM check,MPV,train
TC reported that fault indicator on TIMSwas blinking but TC was unable to proceed to fault page of TIMS. TC confirmed that there was no fault indications illum inated on both panel A and B and that there was no master fa,Tighten TIMS Connector,train
"561/562 Air leak test failed, 1.1bar/5mi",Auto Coupler Cylinder O-Ring,train
Snaprep: Car 1534 so stuffy,Saloon CCU,train
CE reported 3647 A/C condensation on cei,Change Thermostat Setting,train
3547-Replaced worn B/S WFL Oiling ring 2,WFL Oiling Ring,train
TC reported 'A' side wiper faulty. Visibility affected.,Wiper,train
"#3527-B1 door loud sound when opening, T",Door Roller,train
"TC reported Train door Front DT A2 unable to close. Recycle three times, fault persist. SM(CCK) manu al close the train door inside the train. SM(CCK) following the train to monitor.",Clean J Rail,train
CHECK 2533 BCP OM EVENT LOG SHOWN ABNORMALITY ON THE BCP OF 2533CHECK BCP ON 2533,ACU,train
Snap: 1562 Severe wheel vibrations,Wheel Profiling,train
"#2543 AC 2-1,COOLANT PRESSURE FAULT,1544",Saloon CCU,train
Snap: 2507 Saloon light blown,Saloon Light,train
1502 Pax feedback to staff(WDL) 1 saloon,Saloon Light,train
CE: 3518 B6 Saloon light faulty,Saloon Light,train
"TC reported smoke external at Front DT car. Staff(BBT) checked, no sign of smoke or fire found. RearT205 line clear towards BBT SB, feedback no abnormalities f ound.",External Smoke Detector,train
TC reported TIMS showed APS fault intermittently.,Saloon CCU,train
Snaprep: 2535 Saloon warm,Saloon CCU,train
3503 CE reported A10 saloon light not wo,Saloon Light,train
CE reported 3515 bogie #1 wheel flat noi,Wheel Profiling,train
CE reported saloon light faulty on car:,Saloon Light,train
1533 - HEAVY LEAK NO.2 BOGIE TEST POINT,Test Point,train
"3642 a/c 1-2, 2-1, 3641 a/c 1-1.  Having",Recharge Freon,train
"TC reported while changing end, rear M2car line flow fan noisy.",Fresh Air Damper,train
snaprep: 2554 saloon light faulty,Saloon Light,train
3620 CE reported A/C 1 A/S & B/S diffuse,Aircon Filter,train
"CE: 2552 A2, A6 , A7 & 2551 B4 saloon light faulty",Saloon Light,train
TC feedback cab door 3569 difficulty inopening.,Cab Door Cable,train
Cab air-con faulty.,Recharge Freon,train
PM reported 3.5bar Pressure regulator air leaking.,Pressure Regulator,train
"During DT, 505/506 air leak test fail, 0",MPV,train
WILD triggered: 2518 A1/62.To profile.,Wheel Profiling,train
CE: 3518 B6 saloon light faulty,Saloon Light,train
"TC reported while changing ends, that saloon lights not working at car 3507 'B1' door and car 2507 ' B2' door.",Saloon Light,train
3554 A/S headlight not working.,Headlight,train
1689 BCU Comms Fault. To check & rectify,BCU,train
#1609 BCP1 0.19bar & #2609 BCP 0.11bar w,Pressure Transducer,train
Pax feedback to staff(YIS) that car 3703was warm. TC confirmed no fault found. Staff(YCK) checked a nd confirmed that car 3703 set #1 air-con faulty. Unable to reset. Car was warm.,Clean CCU Fin,train
"After standing train protection, TC reportedMCH was jammed. TC toggled the MS a few times to clearfault. TC feedback MCH felt a bit stuck but still able to m ove.",FOD,train
TC reported Line Voltage indicator not lighted up. Train departed in ATPM to clear fault.Train abl e to depart Am after TWR EB,CCD Fuse,train
"1507, 3507 & all 508 To carry out MPV C/",MPV,train
"Train encountered power fault at Rear M1 (1675) car while arriving
station. Reset at KAL - ok.


CE checked 1675 recurring power fault.
To follow up and investigate.",VVVF Relay Unit,train
Pax feedback to staff(DBG) that Front DTcarair-con condensation.Staff(RFP) checked and confirme d that Front DT car A1 door air-con condensation. No air-confault. Car was cooling. Pax feedback to staff(DBG) that Fro ERS-14,Change Thermostat Setting,train
TC reported brake fault intermittently lighted up when in between station. Train performance - ok.,BCU,train
TC reported air-con fault. Unable to reset. Staff (KRJ) checked and confirmed that car rear M1 #1 se t air-con faulty. Unable to reset. Car was warm.,Saloon Evaporator,train
"Pax reported to Staff (ORC) ,one pair oftrain doors were making noise at car 1517. SM(MRB) checked and confirmed no abnormalities found.",Door Roller,train
CE reported 3501 A/S cab door top catch,Adjust Cab Door Plunger,train
CE reported car 3553 saloon warm.,Saloon CCU,train
TIMS showed Fire / Smoke Internal at car1533. Staff(AMK) checked and confirmed no signs of smoke / fire / burning smell on exterior or interior of train. Trainwas escorted to terminal station.,Internal Smoke Detector,train
A' side cab door repeatedly opened by itself. Cab door needed more force to fully close cab door. Tr ain was escorted to AMK for withdrawal,Adjust Cab Door Magnet Switch,train
snap:3547 condensation:,Aircon Filter,train
Train doors at front M1 car 'A2' doors were not proven closed. TC recycled train doors few times - o k. Fault recur at YWT2. TC recycled train doors few times - ok. Fault did not recur at subsequent stations.,Adjust Door Lock Switch,train
TIMS showed Smoke External Alarm at car1569. Staff(AMK) checked and confirmed no signs of smoke or fire on exterior of train. Rear T262 line clear and confirme d no abnormalities. TIMS showed Smoke External Alarm at car,External Smoke Detector,train
TIMS showed Smoke External Alarm at car3528. Staff(AMK) checked and confirmed no signs of smoke andfire at exterior or interior of train. Rear T409 line clear and confirmed no abnormalities.,External Smoke Detector,train
To check and rectify CMOCRi1 operation f,Saloon CCU,train
Train encountered stuck brake at rear M2car at KRJ1. SM(KRJ) assisted to isolate rear M2 car BIC.,ACU,train
ATS alarm showed obstructed motion. TC reported opened and closed train doors and cab doors but to n o avail. There was no fault indication and no circuit breake r was tripped. Train was unable to proceed in all modes. Tri,DIR1,train
"2620 A1 A2 A3 A4, B1 B2 B3 B4 Wheel flange height fail.",Wheel Profiling,train
569/570 OCC request to check train as tr,CCD Fuse,train
"TC reported smoke internal Rear M1 car.Staff(AMK) checked, confirmed no sign of smoke or fire at Re ar M1 car. No abnormalities. TC reported smoke internal RearM1 car. Staff(AMK) checked, confirmed no sign of smoke or f",Clean Internal Smoke Detector,train
Train doors at rear M2 car were not proven closed. TC opened and closed once to clear fault.,Clean J Rail,train
TC of T219 reported that counterbound T202 headlight 'A' side was faulty. TC of T202 feedback there was no HLT fault. TC stepped out checked and confirmed 'A' s ide headlight was faulty.,Headlight,train
CHECK 2533 BCP OM EVENT LOG SHOWN ABNORMALITY ON THE BCP OF 2533CHECK BCP ON 2533,Pressure Transducer,train
"Rear cab entry indication illuminated. TC changed end and checked and feedback 'B' side partition do or was opened. TC checked and confirmed no unauthorized pers on, no suspicious item and all switches (sealed and unsealed",Adjust Cab Door Latch Gap,train
2541 - GANGWAY PLATE SINK. TO RECTIFY,Adjust Gangway Footplate,train
3723 A2 Saloon door glass window cracked,Door Window,train
"Realtime feedback channel : car 3604 ""A4door abnormal sound when closing. Station staff(KTB) check ed and confirmed unusual sound at car 3604 ""A4"" door.",Door Roller,train
TC feedback water seepage from detrainment ramp near both sides latches.,Repatch Detrainment Door Rubber,train
T433 3614 Smoke internal alarm reported,SDR1,train
"DT556: UndershootDT556 reported undershoot on 13.04. Observed brake blending on LDC log. Fault time(s): 1) 20:55:45, 2)19:40:34, 3)17:40:16, 4) 16:45:23",BCU,train
"Pax feedback to station staff (TIB), Paxnearly tripped when boarding the train in the middle cars b ecause the train was lower than the platform level. Staff (C OM) checked the train and feedback Rear M2 car slightly lowe",Adjust Air Spring Height,train
1531 #2end smoke detector sign of water,External Smoke Detector,train
3516 A/C 1-1 and 2515 A/C 1-2,Recharge Freon,train
FW: 509/510: KSF A MPV fleetwide change,MPV,train
3558 Auto coupler bi-directional valve f,Coupler Directional Valve,train
603/604 Air Leak test fail 1bar/5min (DT,Levelling Valve,train
1546 A4 SALOON LIGHT COVER UNABLE TO OPE,Retighten Saloon Light Cover,train
EMU 521/522 Air leak test failed 1.0 Bar,Test Point,train
T201 3510 (N) TC reported MCH was hard t,MCH Mounting Bolt Tight,train
3549 Reported wheel defects.To profile.,Wheel Profiling,train
631/632 Few location bump stop fail,Adjust Bump Stop Gap,train
DT check found 3628 undercarriage air leak. Suspect from WFL. To check & Rectify. To do air leak test after rectification.,WFL Hose,train
DURING PM FOUND LFF NOT SWIVEL,LFF,train
"3515 B/S headlight blown, to rectify (DT",Headlight,train
Snap: 3647 Aircon not working,Recharge Freon,train
TC reported TIMS showed BCU release fault at car 2510.,ACU,train
"Train doors not proven closed at RDT A2door, unable to close. Pax were detrained.",Door Control Panel,train
(RSD) 2561 bogie 1 parking brake leak du,Parking Brake Unit,train
Hotbox/hotwheel triggered,Gearbox,train
Train encountered power fault at car front M1 while departing station. Reset - ok. Fault recurred atAMK2 and BSH2.,Charging Resistor,train
PM found 1529 axle 1 and axle 2 earth ca,Earth Cable,train
TC feedback after changing end that oneof the saloon lights in car 1512 was not working.,Saloon Light,train
"TC reported one saloon light blown inrear DT car, B1 door.",Saloon Light,train
"#3553,0.11 bar",Pressure Transducer,train
"TIMS showed Smoke External Alarm at car2543. Staff(AMK) checked and confirmed no signs of smoke or fire, Rear T411 line clear and confirmed no abnormalities.",External Smoke Detector,train
TIMS showed intermittent BCU fault at car 2509 since CCK2.,ACU,train
Reported during 3WT Car 3549 B/S Wheel F,Wheel Profiling,train
"Rear cab entry indication illuminated. Staff (BDK) checked and confirmed no unauthorized person, no suspicious item and all switches (sealed and unsealed) in no rmal condition inside the rear driving cab.",Partition Door Rubber,train
TC reported 'Smoke External' present atrear DT car. Staff(EUN) checked and feedback no signs of smo ke or heat on interior and exterior of train. Rear T146 perf ormed line clear in ATPM and confirmed there were no abnorma,External Smoke Detector,train
3559-electrical coupler heavy air leak,Electrical Head O Ring,train
3527 PM found Detrainment Ramp Winching,Detrainment Door Rope,train
"Pax feedback to staff(AMK) that one of the train doors did not open at car 1614 ""B3"" door . Staff(KT B) confirmed and isolated the defective 'B3' doors at car 16 14 in close position.",Door Roller,train
1659 - A/C 2-1 FAULTY,Saloon CCU,train
2644 Parking brake apply fault.,Parking Brake Solenoid Valve,train
Rear cab entry. Staff (BSH) - partitiondoors were close and latched. Staff (BSH) opened and closed the partition doors and confirmed there was no abnormalities . TC confirmed the rear cab entry indication was extinguish.,Clean Latch Hole,train
EB applied in AM while departing from station due to train door status lost. TC reported rear DT car'B2' door lost proven close status momentarily while train was moving. Reset EB - ok. Fault recurred intermittently aft,Door Operator,train
Train stopped with intermittent stuck brake indication at car 1649 after arriving RFP NB. Fault clea red by itself.,ACU,train
TC reported of arcing spotted at car 1601 and train was jerky while travelling from SOM SB to CTH SB .,CCD Shoe,train
TIMS showed APS fault at car 1673. Trainperformance - ok. TIMS showed APS fault at car 1673. Train performance - ok.,Saloon CCU,train
#3667 DT check found ATC marker ligth no,ATC Marker Light,train
"Train encountered power fault at Rear M2car arriving station. Reset, ok. Fault recurred at BDL2. Re set, ok.",Traction Motor,train
"3713-A1(x2), A2(x1), B1(x3), B2(x3)
1713-A2(x1), B1(x3)
2713-A2(x2), B1(x2), B2(x3)
3714-A1(x4), B1(x2), B2(x3)
1714-A1(x3), A2(x1), B1(x2)
2714-A2(x2), B1(x1)
Found the above location CCD assembly mounting washers cracked during PM check.
Please check and rectify.",CCD Washer,train
TC feedback cab air-con warm. Unable toreset.,Recharge Freon,train
3617 A-side wiper loose. To check & rect,Wiper,train
"TC reported TIMS showed rear DT car ""BCUWSP timer"" momentarily and fault self cleared. No issues wi th train performance.",BCU,train
"3656 Intermittent APS Fault found during train prep, to be rectified",Battery,train
563/564 air leak rate fail - 1.2bar/5min,Test Point,train
"WILD triggered on 3564   (B2 77KN), To c",Wheel Profiling,train
3601 B/S WFL actuator leak,WFL Cylinder,train
509/510 Fleetwide MPV C/O,MPV,train
"1667 Fault cide 721, Smoke external faul",External Smoke Detector,train
TC reported A/C fault. Unable to reset.Staff(NOV) checked and confirmed RM2 car #1 and #2 faulty. U nable to reset. Car was warm.,Recharge Freon,train
CE reported 1547 A10 saloon light not wo,Saloon Light,train
515/516 Air leak test fail during DT.,Test Point,train
541/542 DT check found air leak fail.1.0,Test Point,train
"Train encountered power fault at rear M2car while arriving station. Reset at DBG SB, CTH SB and RFP SB to no avail.",Charging Resistor,train
2522 AC 2-2 found short cycling.To check,Saloon Evaporator,train
#3689 B-side EMPB not working found duri,EMPB,train
2523 A/C 1-2 Coolant Pressure Fault. To,Recharge Freon,train
3508 Air Dryer Fault. To check & rectify,Air Dryer,train
503/504 air leak 3 bars per 5 minutes wh,Door Manifold,train
TIMS showed fire External Alarm at rearM2 car. Staff(AMK) checked and confirmed no signs of smoke /fire / burning smell on exterior or interior of train. Rear T442 line clear and confirmed no abnormalities.,External Smoke Detector,train
3545 B side headlight not working.,Headlight,train
3705 DT check found brake fault.fault co,Speed Sensor,train
"TC changed end reported car 3567, a saloon light not working near 'B3' door. TC changed end reportedcar 3567, a saloon light not working near 'B3' door.",Saloon Light,train
TC feedback cab air-con was not working.Unable to reset. Cab was cooling.,Cab CCU,train
Train doors was not proven closed. Opened and closed a few times to no avail. TC tripped DCB to no a vail.,FOD,train
#3563 A/C 2 inverter failure.,Recharge Freon,train
3518-REPORTED DURING 3WCC01 HLD PCB FAUT,HLD Card,train
TC reported air-con fault at rear M1 car. Staff(NOV) checked and confirmed #2 set faulty. Reset - ok . Car was cooling.,Recharge Freon,train
ATS alarm showed EB applied due to rollback tolerance exceeded. Reset EB - ok. Train proceeded in AMmode to BSH SB.,AMR2,train
TIMS showed front DT car BCU brake fault. Fault self-cleared.,ACU,train
1501-REPORTED APS FAULT DURING TRAIN PRE,Main Switch Box Handle,train
CE reported car 1679 Bogie2 emitting whe,Wheel Profiling,train
1520 reported 1 saloon light faulty.,Saloon Light Connector Loose,train
1509 wheel reprofiling,Wheel Profiling,train
T115 encountered stuck brake at front M2while departing BDK2. STBS operated and train proceeded in ATPM to KEM2 for disembarkment.,ACU,train
During PM (6MCD05) found 1642 K2 contact,K2 Contactor,train
2538 Pax reported no A/C (Snap rep),Saloon CCU,train
"#1528 Car A1,B2,B3 and B4 door check, re",Adjust Saloon Door Sensing Switch,train
DT523 UNDERSHOOT FER RSD TO CHECK ON BRAKE BLENDING. EARED ON SIGNAL SIDE,BCU,train
2644-A1 DOOR UNABLE TO OPEN,Door Roller,train
OE: To download and check car 1547 BCP o,ACU,train
Train encountered power fault at Rear M1car while arriving station. Reset a few times to no avail.,Charging Resistor,train
CE: 1521 B11 & 2521 A4 saloon light blow,Saloon Light,train
"TC reported car 1622 propulsion fault arriving station. TC did power fault reset at ADM, WDL and MSLNB to no avail. Train performance ok. TC reported car 1622 propulsion fault arriving station. TC did power fault reset",Traction Motor,train
3664 A/C 2-1 CMOCR1 fault. To check & rectify,Saloon CCU,train
"TC reported of Master Fault and Brake Fault indicators lighted up, but no fault indication on TIMS. Train was accelerating slowly out of BSD TB3. Fault self-cle ared just as the train was entering BSH SB.",BCU,train
SnapPrep reported 1547 A/C condensation.,Saloon Evaporator,train
Snaprep: 3507 Saloon A/C warm,Recharge Freon,train
"TC reported Front DT car, door #3 did not opened. TIMS showed obstructed door at FDT car. Staff (AMK ) checked and confirmed FDT car, #3 door did not opened. SM (YIS) isolated the #3 door in closed position.",Door Roller,train
2525/2526-Replaced L.G.R (line breaker r,Charging Resistor,train
